Concept(EN)	ConceptClass	Concept(IT)	SubjectCode	No.Concept	No.Phrase	Feature	RelationType	Phrase
goose	bird	oca	s89	14		1	a_bird	ch	uccello
goose	bird	oca	s89	14		2	associated_with_stupidity	eae	ragazza_scema
goose	bird	oca	s89	14		3	has_feathers	ece	con_le_piume_si_fanno_piumini_e_cappotti
goose	bird	oca	s89	14		4	eaten_by_roasting	sa	arrosto
paintbrush	implement	pennello	s89	15		1	used_for_painting	sf	si_usa_per_dipingere
paintbrush	implement	pennello	s89	15		2	a_tool	ch	strumento
paintbrush	implement	pennello	s89	15		3	used_for_working	sf	di_lavoro
paintbrush	implement	pennello	s89	15		4	is_long	ese	lungo
paintbrush	implement	pennello	s89	15		5	is_narrow	ese	stretto
sweater	clothing	pullover	s89	16		1	a_sweater	cs	maglia
sweater	clothing	pullover	s89	16		2	made_of_wool	em	lana
sweater	clothing	pullover	s89	16		3	worn_for_warmth	sf	caldo
onion	vegetable	cipolla	s89	17		1	causes_crying/tears	ic	attento_perché_si_piange
onion	vegetable	cipolla	s89	17		2	like_a_hairstyle	io	pettinatura
onion	vegetable	cipolla	s89	17		3	causes_bad_breath	ic	alito_cattivo
onion	vegetable	cipolla	s89	17		4	is_white	ese	bianca
bear	mammal	orso	s89	18		1	an_animal	ch	animale
bear	mammal	orso	s89	18		2	lives_in_forests	sl	del_bosco
bear	mammal	orso	s89	18		3	associated_with_yeti	eae	yeti
bear	mammal	orso	s89	18		4	eg_-_grizzly	cl	grizzlie
bear	mammal	orso	s89	18		5	eg_-_racoon	cl	procione
sparrow	bird	passero	s89	19		1	a_bird	ch	uccello
sparrow	bird	passero	s89	19		2	associated_with_Leopardi	eae	chiave_dei_misteri
shoes	clothing	scarpe	s89	20		1	worn_for_covering_feet	sf	coprono_le_nudità_inferiori
shoes	clothing	scarpe	s89	20		2	worn_above_socks	sf	sopra_i_calzini
spinach	vegetable	spinaci	s89	21		1	associated_with_Popeye	eae	Braccio_di_Ferro_li_mangia
socks	clothing	calzini	s89	23		1	worn_under_shoes	sf	sotto_le_scarpe
owl	bird	gufo	s89	24		1	a_bird	ch	uccello_come_il_passero
owl	bird	gufo	s89	24		2	beh_-_is_nocturnal	eb	sta_sveglio_di_notte
seagull	bird	gabbiano	s89	25		1	a_bird	ch	un_altro_uccello
seagull	bird	gabbiano	s89	25		2	lives_by_the_ocean	sl	sta_al_mare
hand	bodypart	mano	s90	1		1	a_body_part	ch	parte_del_corpo_umano
hand	bodypart	mano	s90	1		2	used_for_grasping	sf	permette_di_afferrare_oggetti
hand	bodypart	mano	s90	1		3	has_5_fingers	ece	ha_5_dita
hand	bodypart	mano	s90	1		4	extreme_part_of_body	ew	è_una_delle_parti_estreme_del_nostro_corpo
woodpecker	bird	picchio	s90	2		1	a_bird	ch	uccello
woodpecker	bird	picchio	s90	2		2	is_medium_sized	ese	di_grandezza_media
woodpecker	bird	picchio	s90	2		3	has_a_long_beak	ece	ha_un_becco_lungo
woodpecker	bird	picchio	s90	2		4	beh_-_puts_holes_in_trees	eb	si_diverte_a_fare_buchi_sugli_alberi
woodpecker	bird	picchio	s90	2		5	beh_-_makes_loud_noises	eb	il_suono_che_emette_martellando_è_"tutututu"
orange	fruit	arancia	s90	3		1	a_fruit	ch	tipo_di_frutta
orange	fruit	arancia	s90	3		2	is_round	ese	tonda
orange	fruit	arancia	s90	3		3	has_an_orange_skin	ece	con_la_buccia_arancione
orange	fruit	arancia	s90	3		4	is_juicy	esi	succosa
orange	fruit	arancia	s90	3		5	used_for_juice	se	ottima_per_le_spremute
bus	vehicle	autobus	s90	4		1	a_vehicle	ch	mezzo
bus	vehicle	autobus	s90	4		2	used_for_transportation	sf	di_trasporto
bus	vehicle	autobus	s90	4		3	like_a_large_van	io	come_se_fosse_un_grande_pulmino
bus	vehicle	autobus	s90	4		4	has_seats	eci	con_posti_a_sedere
bus	vehicle	autobus	s90	4		5	has_standing_area	eci	con_posti_in_piedi
bus	vehicle	autobus	s90	4		6	requires_a_fare	ic	per_salire_devi_pagare_il_biglietto
bus	vehicle	autobus	s90	4		7	makes_stops	sf	si_ferma_a_fermate_stabilite
bus	vehicle	autobus	s90	4		8	has_a_number	ece	ha_un_numero
corn	vegetable	mais	s90	5		1	has_kernels	ece	chicco
corn	vegetable	mais	s90	5		2	a_grain	ch	di_grano
corn	vegetable	mais	s90	5		3	is_yellow	ese	giallo
corn	vegetable	mais	s90	5		4	eaten_in_salads	se	si_usa_per_condire_l'insalata
corn	vegetable	mais	s90	5		5	used_for_oil	se	c'è_l'olio_di_mais
bed	furniture	letto	s90	6		1	a_place	ch	posto
bed	furniture	letto	s90	6		2	is_comfortable	ie	comodo
bed	furniture	letto	s90	6		3	used_for_sleeping	sf	dove_dormire
bed	furniture	letto	s90	6		4	found_in_rooms	sl	lo_trovi_nelle_stanze
bed	furniture	letto	s90	6		5	has_blankets	se	ci_sono_delle_coperte_per_riscaldarti
bed	furniture	letto	s90	6		6	has_a_pillow	se	c'è_il_cuscino_per_appoggiare_la_testa
bed	furniture	letto	s90	6		7	used_after_dark	st	quando_è_buio_ti_corichi_sopra_il_letto
bed	furniture	letto	s90	6		8	used_after_dark	st	quando_è_buio_ti_addormenti_sopra_il_letto
rabbit	mammal	coniglio	s90	7		1	an_animal	ch	animale
rabbit	mammal	coniglio	s90	7		2	has_long_ears	ece	con_le_orecchie_lunghe
rabbit	mammal	coniglio	s90	7		3	associated_with_Easter	eae	è_il_simbolo_della_Pasqua
rabbit	mammal	coniglio	s90	7		4	has_long_teeth	ece	ha_i_dentoni_lunghi
rabbit	mammal	coniglio	s90	7		5	beh_-_eats_carrots	eb	mangia_le_carote
peas	vegetable	piselli	s90	8		1	is_small	ese	piccole
peas	vegetable	piselli	s90	8		2	is_round	ese	palline
peas	vegetable	piselli	s90	8		3	is_green	ese	verdi
peas	vegetable	piselli	s90	8		4	is_edible	sa	si_mangiano
peas	vegetable	piselli	s90	8		5	eaten_as_side_dish	sa	come_contorno
peas	vegetable	piselli	s90	8		6	eaten_by_pan_frying	sa	si_fanno_in_padella
peas	vegetable	piselli	s90	8		7	eaten_as_side_dish	sa	mia_mamma_me_li_fa_con_le_polpette
closet	furniture	armadio	s90	9		1	a_place	ch	posto
closet	furniture	armadio	s90	9		2	used_for_storing_clothing	sf	dove_poter_riporre_ordinatamente_tutti_i_tuoi_vestiti
closet	furniture	armadio	s90	9		3	has_hangers	se	con_grucce
closet	furniture	armadio	s90	9		4	has_drawers	ece	con_cassetti
ship	vehicle	nave	s90	10		1	a_vehicle	ch	mezzo
ship	vehicle	nave	s90	10		2	used_for_transportation	sf	di_trasporto
ship	vehicle	nave	s90	10		3	used_for_navigation	sf	per_andare_sul_mare
ship	vehicle	nave	s90	10		4	is_large	ese	ci_sono_navi_grandi
ship	vehicle	nave	s90	10		5	is_small	ese	ci_sono_navi_piccole
ship	vehicle	nave	s90	10		6	used_for_traveling_into_space	sf	navi_per_lo_spazio
dog	mammal	cane	s90	11		1	an_animal	ch	animale
dog	mammal	cane	s90	11		2	beh_-_barks	eb	fa_bau_bau
dog	mammal	cane	s90	11		3	different_sizes	ese	di_diverse_dimensioni
dog	mammal	cane	s90	11		4	different_colours	ese	di_diversi_colori
horse	mammal	cavallo	s90	12		1	an_animal	ch	animale
horse	mammal	cavallo	s90	12		2	is_strong	iep	forte
horse	mammal	cavallo	s90	12		3	is_large	ese	grande
horse	mammal	cavallo	s90	12		4	is_fast	iep	molto_agile
horse	mammal	cavallo	s90	12		5	has_a_large_jaw	eci	mandibola_grandissima
horse	mammal	cavallo	s90	12		6	beh_-_likes_sugar	eb	gli_piace_lo_zucchero
horse	mammal	cavallo	s90	12		7	used_by_riding	sa	si_possono_cavalcare
horse	mammal	cavallo	s90	12		8	has_hooves	ece	hanno_gli_zoccoli
horse	mammal	cavallo	s90	12		9	has_4_legs	ece	4_zampe
tongs	implement	pinze	s90	13		1	a_tool	ch	attrezzo
skyscraper	building	grattacielo	s90	14		1	a_palace	ch	palazzo
skyscraper	building	grattacielo	s90	14		2	is_tall	ese	molto_alto
skyscraper	building	grattacielo	s90	14		3	found_in_America	sl	America
eye	bodypart	occhio	s90	15		1	a_body_part	ch	parte_del_corpo_umano
eye	bodypart	occhio	s90	15		2	used_for_seeing	sf	utilizziamo_per_vedere_le_cose
truck	vehicle	camion	s90	16		1	a_vehicle	ch	mezzo
truck	vehicle	camion	s90	16		2	used_for_transportation	sf	di_trasporto
truck	vehicle	camion	s90	16		3	used_for_cargo	se	per_grandi_quantità
truck	vehicle	camion	s90	16		4	used_by_companies	sp	le_ditte_li_usano
truck	vehicle	camion	s90	16		5	used_for_transportation	sf	per_portare_i_prodotti_in_vari_luoghi
truck	vehicle	camion	s90	16		6	found_on_highways	sl	sull'autostrada_non_possono_superare
finger	bodypart	dito	s90	17		1	part_of_hand	ew	parte_della_mano
finger	bodypart	dito	s90	17		2	there_are_5	eq	ce_ne_sono_5_di_dita
finger	bodypart	dito	s90	17		3	eg_-_thumb	cl	pollice
finger	bodypart	dito	s90	17		4	eg_-_index_finger	cl	indice
finger	bodypart	dito	s90	17		5	eg_-_middle_finger	cl	medio
finger	bodypart	dito	s90	17		6	eg_-_ring_finger	cl	anulare
finger	bodypart	dito	s90	17		7	eg_-_baby_finger	cl	mignolo
finger	bodypart	dito	s90	17		8	used_for_pointing	sf	l'indice_serve_per_indicare_cose_o_persone
apple	fruit	mela	s90	18		1	a_fruit	ch	frutto
apple	fruit	mela	s90	18		2	is_round	ese	tondo
apple	fruit	mela	s90	18		3	has_thin_skin	ese	con_la_buccia_sottile
apple	fruit	mela	s90	18		4	different_colours	ese	di_diversi_colori
apple	fruit	mela	s90	18		5	is_yellow	ese	gialla
apple	fruit	mela	s90	18		6	is_green	ese	verde
apple	fruit	mela	s90	18		7	is_red	ese	rossa
apple	fruit	mela	s90	18		8	eaten_in_pies	se	si_fanno_le_torte
apple	fruit	mela	s90	18		9	used_for_juice	se	c'è_il_succo
tower	building	torre	s90	19		1	a_place	ch	posto
tower	building	torre	s90	19		2	is_tall	ese	alto
tower	building	torre	s90	19		3	used_for_guarding	sf	di_vedetta
tower	building	torre	s90	19		4	associated_with_princesses	eae	nelle_fiabe_rinchiudono_la_principessa
train	vehicle	treno	s90	20		1	a_vehicle	ch	mezzo
train	vehicle	treno	s90	20		2	used_for_transportation	sf	di_trasporto
train	vehicle	treno	s90	20		3	is_long	ese	lungo
train	vehicle	treno	s90	20		4	has_many_cars	ece	con_tanti_vagoni
potato	vegetable	patata	s90	21		1	a_tuber	ch	tubero
bridge	building	ponte	s90	22		1	part_of_a_road	ew	strada
bridge	building	ponte	s90	22		2	used_for_connecting_land	sf	che_collega_due_posti
bridge	building	ponte	s90	22		3	is_high_off_ground	sl	sospesa
sword	implement	spada	s90	23		1	a_tool	ch	attrezzo
sword	implement	spada	s90	23		2	has_a_pointed_end	ese	appuntito
sword	implement	spada	s90	23		3	used_for_hurting	sf	per_ferire_altre_persone
airplane	vehicle	aeroplano	s90	24		1	flies	sf	vola
airplane	vehicle	aeroplano	s90	24		2	leaves_white_trace	io	lascia_una_scia_bianca
pineapple	fruit	ananas	s90	25		1	a_fruit	ch	frutto
pineapple	fruit	ananas	s90	25		2	is_exotic	iep	esotico
pineapple	fruit	ananas	s90	25		3	has_green_leaves	ece	con_un_pennacchio_verde
pineapple	fruit	ananas	s90	25		4	is_yellow_inside	esi	dentro_è_giallo
leg	bodypart	gamba	s91	1		1	a_lower_limb	ch	arto_inferiore
leg	bodypart	gamba	s91	1		2	a_limb	ch	arto_del_corpo_umano
leg	bodypart	gamba	s91	1		3	has_a_thigh	ece	costituita_di_coscia
leg	bodypart	gamba	s91	1		4	has_a_leg	ece	costituita_di_gamba
leg	bodypart	gamba	s91	1		5	there_are_2	eq	ogni_uomo_ne_possiede_2
leg	bodypart	gamba	s91	1		6	used_for_walking	sf	serve_per_camminare
head	bodypart	testa	s91	2		1	has_a_brain	eci	munita_di_cervello
head	bodypart	testa	s91	2		2	top_part_of_body	ew	apice_del_corpo
head	bodypart	testa	s91	2		3	has_hair	ece	su_di_essa_ci_sono_i_capelli
head	bodypart	testa	s91	2		4	used_for_thinking	sf	con_essa_si_pensa
jacket	clothing	giacca	s91	3		1	clothing	ch	capo_d'abbigliamento
jacket	clothing	giacca	s91	3		2	worn_for_covering_the_upper_body	sf	fatta_per_essere_indossata_nella_parte_superiore_del_corpo
jacket	clothing	giacca	s91	3		3	worn_on_torso	sf	indossata_sul_busto
jacket	clothing	giacca	s91	3		4	worn_on_arms	sf	indossata_sulle_braccia
armchair	furniture	poltrona	s91	4		1	used_for_sitting	sf	ci_si_può_sedere_sulla_poltrona
armchair	furniture	poltrona	s91	4		2	used_by_1_person	sp	ad_1_posto
armchair	furniture	poltrona	s91	4		3	is_pea_green	ese	verde_pisello
chair	furniture	sedia	s91	5		1	less_comfortable_than_an_armchair	io	meno_comoda_della_poltrona
chair	furniture	sedia	s91	5		2	made_of_wood	em	in_legno
chair	furniture	sedia	s91	5		3	made_of_iron	em	in_ferro_battuto
chair	furniture	sedia	s91	5		4	made_of_plastic	em	in_plastica_al_bar
chair	furniture	sedia	s91	5		5	found_at_tables	se	attorno_a_un_tavolo
garage	building	garage	s91	6		1	is_box_shaped	ese	box
garage	building	garage	s91	6		2	used_for_storing_vehicles	sf	in_cui_si_parcheggia_un_veicolo
garage	building	garage	s91	6		3	used_for_storing_2_vehicles	sf	in_cui_si_parcheggiano_2_veicoli
garage	building	garage	s91	6		4	different_functions	sf	polifunzionale
garage	building	garage	s91	6		5	is_underground	sl	sottoterra
cherry	fruit	ciliegia	s91	7		1	a_fruit	ch	frutto
cherry	fruit	ciliegia	s91	7		2	is_red	ese	color_rosso_scuro
cherry	fruit	ciliegia	s91	7		3	tastes_sweet	esi	molto_dolce
cherry	fruit	ciliegia	s91	7		4	has_a_pit	eci	munita_di_nocciolo
cherry	fruit	ciliegia	s91	7		5	I_like_them	ie	mi_piacciono_molto
chemise	clothing	camicia	s91	8		1	clothing	ch	indumento
chemise	clothing	camicia	s91	8		2	worn_under_jacket	sf	indossato_sotto_giacca
chemise	clothing	camicia	s91	8		3	worn_with_ties	se	con_cravatta
chemise	clothing	camicia	s91	8		4	is_elegant	ie	per_situazioni_eleganti
table	furniture	tavolo	s91	9		1	has_a_board	ece	asse
table	furniture	tavolo	s91	9		2	made_of_wood	em	di_legno
table	furniture	tavolo	s91	9		3	has_4_legs	ece	munito_di_4_gambe
table	furniture	tavolo	s91	9		4	used_for_eating_on	sf	per_mangiare
table	furniture	tavolo	s91	9		5	used_for_writing_on	sf	per_studiare
table	furniture	tavolo	s91	9		6	has_chairs	se	attorno_ad_esso_ci_possono_essere_sedie
table	furniture	tavolo	s91	9		7	is_important	ie	è_un_elemento_fondamentale
comb	implement	pettine	s91	10		1	an_object	ch	oggetto
comb	implement	pettine	s91	10		2	used_for_hair	se	per_pettinare_i_capelli
comb	implement	pettine	s91	10		3	used_by_women	sp	usato_da_donne
comb	implement	pettine	s91	10		4	used_by_people	sp	lo_usano_tutti
comb	implement	pettine	s91	10		5	not_for_bald_people	in	calvi_esclusi
church	building	chiesa	s91	11		1	associated_with_The_House_of_God	eae	casa_di_Dio
church	building	chiesa	s91	11		2	a_place	ch	luogo
church	building	chiesa	s91	11		3	is_sacred	iep	sacro
church	building	chiesa	s91	11		4	worth_respecting	ie	degno_di_rispetto
church	building	chiesa	s91	11		5	has_naves	eci	all'interno_navate
church	building	chiesa	s91	11		6	has_an_altar	eci	all'interno_altare
church	building	chiesa	s91	11		7	has_a_cross	se	all'interno_crocifisso
church	building	chiesa	s91	11		8	used_by_believers	sp	all'interno_fedeli
pear	fruit	pera	s91	12		1	is_edible	sa	meglio_mangiarsi_una_pera
pear	fruit	pera	s91	12		2	associated_with_drugs	eae	che_farsi_una_pera
pear	fruit	pera	s91	12		3	tastes_good	ie	ottimo
pear	fruit	pera	s91	12		4	a_fruit	ch	frutto
pear	fruit	pera	s91	12		5	is_peculiarly_shaped	ese	dall'ambigua_forma
monkey	mammal	scimmia	s91	13		1	an_animal	ch	animale
monkey	mammal	scimmia	s91	13		2	a_relative_of_humans	cc	più_vicino_all'uomo
monkey	mammal	scimmia	s91	13		3	a_relative_of_humans	cc	vicino_all'uomo_per_forma
monkey	mammal	scimmia	s91	13		4	a_relative_of_humans	cc	vicino_all'uomo_per_intelligenza
monkey	mammal	scimmia	s91	13		5	I_respect_it	ie	lo_stimo_moltissimo
goose	bird	oca	s91	14		1	associated_with_stupidity	eae	detto_di_ragazze_non_particolarmente_intelligenti
goose	bird	oca	s91	14		2	an_animal	ch	animale
goose	bird	oca	s91	14		3	I_do_not_like_it	ie	non_mi_piace_proprio
paintbrush	implement	pennello	s91	15		1	a_tool	ch	strumento
paintbrush	implement	pennello	s91	15		2	used_for_painting	sf	con_cui_è_possibile_pitturare
paintbrush	implement	pennello	s91	15		3	used_by_dipping_into_colour	sa	va_immerso_nella_vernice
paintbrush	implement	pennello	s91	15		4	used_by_moving_it_over_a_wall	sa	si_fa_scorrere_su_una_parete
sweater	clothing	pullover	s91	16		1	brings_bad_memories	ie	brutti_ricordi
sweater	clothing	pullover	s91	16		2	clothing	ch	indumento
sweater	clothing	pullover	s91	16		3	associated_with_village_festivals	eae	per_feste_di_paese
onion	vegetable	cipolla	s91	17		1	tastes_good	ie	ottimo
onion	vegetable	cipolla	s91	17		2	a_vegetable	ch	ortaggio
onion	vegetable	cipolla	s91	17		3	causes_bad_breath	ic	meglio_non_prima_di_vedere_una_ragazza
bear	mammal	orso	s91	18		1	is_elegant	ie	elegantissimo
bear	mammal	orso	s91	18		2	an_animal	ch	animale
bear	mammal	orso	s91	18		3	is_solitary	iep	solitario
bear	mammal	orso	s91	18		4	I_do_not_know_many	io	non_ne_conosco_tanti
bear	mammal	orso	s91	18		5	I_knew_one_as_a_child	io	da_piccolo_ne_conoscevo_1
sparrow	bird	passero	s91	19		1	is_small	ese	piccolo
sparrow	bird	passero	s91	19		2	a_bird	ch	uccello
sparrow	bird	passero	s91	19		3	lives_in_cities	sl	si_incontra_in_città
sparrow	bird	passero	s91	19		4	a_relative_of_pigeons	cc	subalterno_del_piccione
shoes	clothing	scarpe	s91	20		1	worn_on_feet	sf	per_i_piedi
spinach	vegetable	spinaci	s91	21		1	associated_with_Popeye	eae	Braccio_di_Ferro
spinach	vegetable	spinaci	s91	21		2	is_nutritious	iep	all'asilo_una_volta_ne_ho_mangiati_5_piatti_per_diventare_forte_come_lui
broom	implement	scopa	s91	22		1	a_tool	ch	attrezzo
broom	implement	scopa	s91	22		2	used_for_cleaning	sf	per_pulizie
broom	implement	scopa	s91	22		3	associated_with_movie_with_dancing_brooms	eae	film_dove_le_scope_ballano
socks	clothing	calzini	s91	23		1	is_white	ese	bianchi
socks	clothing	calzini	s91	23		2	to_be_changed_often	sa	li_cambio_una_volta_al_giorno
owl	bird	gufo	s91	24		1	is_ugly	ie	bruttissimo
owl	bird	gufo	s91	24		2	an_animal	ch	animale
owl	bird	gufo	s91	24		3	I_do_not_like_it	ese	non_mi_piace
owl	bird	gufo	s91	24		4	a_bird_of_prey	ch	rapace
seagull	bird	gabbiano	s91	25		1	a_bird	ch	uccello
seagull	bird	gabbiano	s91	25		2	is_elegant	ie	elegante
hand	bodypart	mano	s92	1		1	a_body_part	ch	parte_del_corpo_umano
hand	bodypart	mano	s92	1		2	used_for_grasping	sf	adibita_ad_afferrare_oggetti
woodpecker	bird	picchio	s92	2		1	a_bird	ch	uccello
woodpecker	bird	picchio	s92	2		2	has_a_long_beak	ece	con_becco_lungo
woodpecker	bird	picchio	s92	2		3	has_a_thin_beak	ece	con_becco_fino
woodpecker	bird	picchio	s92	2		4	beh_-_makes_rhythmic_movement	eb	con_movimento_ondeggiatorio
woodpecker	bird	picchio	s92	2		5	beh_-_puts_holes_in_trees	eb	scava_dei_buchi_nei_tronichi_degli_alberi
orange	fruit	arancia	s92	3		1	a_fruit	ch	frutto
orange	fruit	arancia	s92	3		2	is_orange	ese	arancione
orange	fruit	arancia	s92	3		3	is_edible	sa	si_mangia
orange	fruit	arancia	s92	3		4	has_sections	eci	diviso_in_sezioni
orange	fruit	arancia	s92	3		5	has_vitamin_C	eci	ricca_di_vitamina_C
bus	vehicle	autobus	s92	4		1	a_vehicle	ch	veicolo
bus	vehicle	autobus	s92	4		2	10_to_25_meters_long	eq	lungo_dai_10_ai_25m
bus	vehicle	autobus	s92	4		3	moves	sf	si_muove
bus	vehicle	autobus	s92	4		4	has_rubber_wheels	ece	su_ruote_gommate
bus	vehicle	autobus	s92	4		5	used_by_passengers	sp	porta_delle_persone
bus	vehicle	autobus	s92	4		6	found_in_cities	sl	usato_in_città
bus	vehicle	autobus	s92	4		7	found_outside_cities	sl	usato_fuori_città
corn	vegetable	mais	s92	5		1	an_object	ch	oggetto
corn	vegetable	mais	s92	5		2	is_small	ese	piccolo
corn	vegetable	mais	s92	5		3	is_yellow	ese	giallo
corn	vegetable	mais	s92	5		4	is_edible	sa	si_mangia
corn	vegetable	mais	s92	5		5	grows_in_fields	sl	cresce_nei_campi_di_grano
corn	vegetable	mais	s92	5		6	comes_on_cobs	ese	è_una_parte_della_pannocchia
bed	furniture	letto	s92	6		1	an_object	ch	oggetto
bed	furniture	letto	s92	6		2	used_for_sleeping	sf	su_cui_si_dorme
bed	furniture	letto	s92	6		3	as_large_as_a_human	io	grande_quanto_un_essere_umano
bed	furniture	letto	s92	6		4	eg_-_double_bed	cl	doppio
bed	furniture	letto	s92	6		5	has_pillows	se	vi_sono_cuscini
bed	furniture	letto	s92	6		6	has_blankets	se	vi_sono_coperte
rabbit	mammal	coniglio	s92	7		1	an_animal	ch	animale
rabbit	mammal	coniglio	s92	7		2	is_small	ese	piccolo
rabbit	mammal	coniglio	s92	7		3	has_long_ears	ece	orecchie_lunghe
rabbit	mammal	coniglio	s92	7		4	has_long_incisor_teeth	ece	denti_incisivi_grandi
rabbit	mammal	coniglio	s92	7		5	has_long_protruding_incisor_teeth	ece	denti_incisivi_sporgenti
rabbit	mammal	coniglio	s92	7		6	beh_-_hops	eb	si_muove_saltando
rabbit	mammal	coniglio	s92	7		7	not_longer_than_40_cm	eq	non_supera_i_40cm_di_lunghezza
peas	vegetable	piselli	s92	8		1	is_green	ese	verdura
peas	vegetable	piselli	s92	8		2	is_edible	sa	commestibile
peas	vegetable	piselli	s92	8		3	is_small	ese	piccolo
peas	vegetable	piselli	s92	8		4	is_round	ese	piccole_sfere
peas	vegetable	piselli	s92	8		5	is_green	ese	verdi
peas	vegetable	piselli	s92	8		6	eaten_by_cooking	sa	si_mangiano_caldi
closet	furniture	armadio	s92	9		1	an_object	ch	oggetto
closet	furniture	armadio	s92	9		2	made_of_wood	em	in_legno
closet	furniture	armadio	s92	9		3	as_large_as_a_human	io	grande_quanto_un_uomo
closet	furniture	armadio	s92	9		4	is_hollow	esi	internamente_vuoto
closet	furniture	armadio	s92	9		5	used_for_storing_clothing	sf	contiene_l'abbigliamento
ship	vehicle	nave	s92	10		1	a_vehicle	ch	mezzo
ship	vehicle	nave	s92	10		2	used_for_transportation	sf	di_trasporto
ship	vehicle	nave	s92	10		3	used_on_water	sl	si_muove_nell'acqua
ship	vehicle	nave	s92	10		4	used_for_fishing	sf	si_usa_per_pescare
dog	mammal	cane	s92	11		1	an_animal	ch	animale
dog	mammal	cane	s92	11		2	is_domestic	sr	domestico
dog	mammal	cane	s92	11		3	has_4_legs	ece	4_zampe
dog	mammal	cane	s92	11		4	beh_-_eats_everything	eb	è_onnivoro
dog	mammal	cane	s92	11		5	beh_-_has_strong_sense_of_smell	eb	usa_il_naso_per_riconoscere_le_cose
horse	mammal	cavallo	s92	12		1	an_animal	ch	animale
horse	mammal	cavallo	s92	12		2	lives_on_farms	sl	da_fattoria
horse	mammal	cavallo	s92	12		3	has_4_legs	ece	4_zampe
horse	mammal	cavallo	s92	12		4	used_for_working	sf	si_usa_per_lavorare
horse	mammal	cavallo	s92	12		5	used_by_riding	sa	lo_si_può_cavalcare
tongs	implement	pinze	s92	13		1	an_object	ch	oggetto
tongs	implement	pinze	s92	13		2	is_V_shaped	ese	a_V
tongs	implement	pinze	s92	13		3	used_for_picking_up_small_items	sf	si_usa_per_prendere_cose_solitamente_piccole
tongs	implement	pinze	s92	13		4	made_of_iron	em	di_ferro
skyscraper	building	grattacielo	s92	14		1	a_building	ch	edificio
skyscraper	building	grattacielo	s92	14		2	is_tall	ese	altissimo
skyscraper	building	grattacielo	s92	14		3	used_for_housing_people	sf	abitano_le_persone
skyscraper	building	grattacielo	s92	14		4	used_for_working	sf	lavorano_le_persone
skyscraper	building	grattacielo	s92	14		5	has_many_floors	ece	ci_sono_diversi_piani
eye	bodypart	occhio	s92	15		1	a_body_part	ch	parte_del_corpo
eye	bodypart	occhio	s92	15		2	part_of_head	ew	nella_parte_frontale_della_testa
eye	bodypart	occhio	s92	15		3	used_for_seeing	sf	si_usa_per_vedere
eye	bodypart	occhio	s92	15		4	different_colours	ese	la_parte_interna_è_di_colori_diversi
truck	vehicle	camion	s92	16		1	a_vehicle	ch	veicolo
truck	vehicle	camion	s92	16		2	is_large	ese	grande
truck	vehicle	camion	s92	16		3	used_for_vehicle_transportation	sf	si_ua_per_trasportare_mezzi
truck	vehicle	camion	s92	16		4	used_for_long_travel	sf	fa_lunghi_tragitti
finger	bodypart	dito	s92	17		1	part_of_hand	ew	parte_della_mano
finger	bodypart	dito	s92	17		2	beh_-_bends	eb	si_piega_in_3_parti
finger	bodypart	dito	s92	17		3	has_a_nail	ece	all'estremità_c'è_l'unghia
apple	fruit	mela	s92	18		1	a_fruit	ch	frutto
apple	fruit	mela	s92	18		2	is_edible	sa	commestibile
apple	fruit	mela	s92	18		3	has_a_skin	ece	buccia
apple	fruit	mela	s92	18		4	different_colours	ese	diversi_colori
apple	fruit	mela	s92	18		5	associated_with_Snowhite	eae	per_Biancaneve_era_avvelenata
tower	building	torre	s92	19		1	a_building	ch	edificio
tower	building	torre	s92	19		2	made_of_brick	em	in_muratura
tower	building	torre	s92	19		3	is_tall	ese	alto
tower	building	torre	s92	19		4	is_round	ese	circolare
tower	building	torre	s92	19		5	is_cylindrical	ese	di_forma_cilindrica
tower	building	torre	s92	19		6	is_ancient	st	costruito_in_antichità
tower	building	torre	s92	19		7	made_of_concrete	em	in_cemento
tower	building	torre	s92	19		8	made_of_iron	em	in_ferro
train	vehicle	treno	s92	20		1	a_vehicle	ch	mezzo
train	vehicle	treno	s92	20		2	used_for_transportation	sf	di_trasporto
train	vehicle	treno	s92	20		3	beh_-_moves	eb	si_muove
train	vehicle	treno	s92	20		4	used_on_rail_tracks	se	su_rotaie
train	vehicle	treno	s92	20		5	has_many_cars	ece	sono_tanti_vagoni
train	vehicle	treno	s92	20		6	has_a_caboose	ece	tirati_da_una_locomotiva
potato	vegetable	patata	s92	21		1	a_tuber	ch	tubero
potato	vegetable	patata	s92	21		2	grows_underground	sl	cresce_sottoterra
potato	vegetable	patata	s92	21		3	is_edible	sa	commestibile
potato	vegetable	patata	s92	21		4	has_a_yellow_skin	ece	ha_la_buccia_gialla
bridge	building	ponte	s92	22		1	is_arch_shaped	ese	forma_ad_arco
bridge	building	ponte	s92	22		2	used_for_connecting_land	sf	unisce_2_terre
bridge	building	ponte	s92	22		3	found_over_rivers	sl	passa_sotto_un_fiume
sword	implement	spada	s92	23		1	bought/sold_in_stores	sl	la_vendono_su_media_shopping
sword	implement	spada	s92	23		2	an_object	ch	oggetto
sword	implement	spada	s92	23		3	made_of_iron	em	di_ferro
sword	implement	spada	s92	23		4	made_of_bronze	em	di_bronzo
sword	implement	spada	s92	23		5	made_of_copper	em	di_rame
